pid,sex,group,training.day1date,training.day2date,training.day3date,training.day4date,training.day5date,training.day6date,training.day7date,training.day8date,training.day9date,training.day10date,training.day11date,training.day12date,training.day13date,training.day14date,training.day15date,training.day16date,training.day17date,training.day18date,training.day19date,training.day20date,training.day21date,training.day22date,training.day23date,training.day24date,training.day25date,training.day26date,training.day27date,training.day28date,training.day29date,training.day30date,training.day31date,training.day32date,training.day33date,training.day34date,training.day35date,training.day36date,training.day37date,training.day38date,training.day39date,training.day40date,training.day1time,training.day2time,training.day3time,training.day4time,training.day5time,training.day6time,training.day7time,training.day8time,training.day9time,training.day10time,training.day11time,training.day12time,training.day13time,training.day14time,training.day15time,training.day16time,training.day17time,training.day18time,training.day19time,training.day20time,training.day21time,training.day22time,training.day23time,training.day24time,training.day25time,training.day26time,training.day27time,training.day28time,training.day29time,training.day30time,training.day31time,training.day32time,training.day33time,training.day34time,training.day35time,training.day36time,training.day37time,training.day38time,training.day39time,training.day40time,training.day1_treadmillspeed,training.day2_treadmillspeed,training.day3_treadmillspeed,training.day4_treadmillspeed,training.day5_treadmillspeed,training.day6_treadmillspeed,training.day7_treadmillspeed,training.day8_treadmillspeed,training.day9_treadmillspeed,training.day10_treadmillspeed,training.day11_treadmillspeed,training.day12_treadmillspeed,training.day13_treadmillspeed,training.day14_treadmillspeed,training.day15_treadmillspeed,training.day16_treadmillspeed,training.day17_treadmillspeed,training.day18_treadmillspeed,training.day19_treadmillspeed,training.day20_treadmillspeed,training.day21_treadmillspeed,training.day22_treadmillspeed,training.day23_treadmillspeed,training.day24_treadmillspeed,training.day25_treadmillspeed,training.day26_treadmillspeed,training.day27_treadmillspeed,training.day28_treadmillspeed,training.day29_treadmillspeed,training.day30_treadmillspeed,training.day31_treadmillspeed,training.day32_treadmillspeed,training.day33_treadmillspeed,training.day34_treadmillspeed,training.day35_treadmillspeed,training.day37_treadmillspeed,training.day38_treadmillspeed,training.day39_treadmillspeed,training.day40_treadmillspeed,training.day1_treadmillincline,training.day2_treadmillincline,training.day3_treadmillincline,training.day4_treadmillincline,training.day5_treadmillincline,training.day6_treadmillincline,training.day7_treadmillincline,training.day8_treadmillincline,training.day9_treadmillincline,training.day10_treadmillincline,training.day11_treadmillincline,training.day12_treadmillincline,training.day13_treadmillincline,training.day14_treadmillincline,training.day15_treadmillincline,training.day16_treadmillincline,training.day17_treadmillincline,training.day18_treadmillincline,training.day19_treadmillincline,training.day20_treadmillincline,training.day21_treadmillincline,training.day22_treadmillincline,training.day23_treadmillincline,training.day24_treadmillincline,training.day25_treadmillincline,training.day26_treadmillincline,training.day27_treadmillincline,training.day28_treadmillincline,training.day29_treadmillincline,training.day30_treadmillincline,training.day31_treadmillincline,training.day32_treadmillincline,training.day33_treadmillincline,training.day34_treadmillincline,training.day35_treadmillincline,training.day37_treadmillincline,training.day38_treadmillincline,training.day39_treadmillincline,training.day40_treadmillincline,training.day1_timeontreadmill,training.day2_timeontreadmill,training.day3_timeontreadmill,training.day4_timeontreadmill,training.day5_timeontreadmill,training.day6_timeontreadmill,training.day7_timeontreadmill,training.day8_timeontreadmill,training.day9_timeontreadmill,training.day10_timeontreadmill,training.day11_timeontreadmill,training.day12_timeontreadmill,training.day13_timeontreadmill,training.day14_timeontreadmill,training.day15_timeontreadmill,training.day16_timeontreadmill,training.day17_timeontreadmill,training.day18_timeontreadmill,training.day19_timeontreadmill,training.day20_timeontreadmill,training.day21_timeontreadmill,training.day22_timeontreadmill,training.day23_timeontreadmill,training.day24_timeontreadmill,training.day25_timeontreadmill,training.day26_timeontreadmill,training.day27_timeontreadmill,training.day28_timeontreadmill,training.day29_timeontreadmill,training.day30_timeontreadmill,training.day31_timeontreadmill,training.day32_timeontreadmill,training.day33_timeontreadmill,training.day34_timeontreadmill,training.day35_timeontreadmill,training.day37_timeontreadmill,training.day38_timeontreadmill,training.day39_timeontreadmill,training.day40_timeontreadmill,training.day1_score,training.day2_score,training.day3_score,training.day4_score,training.day5_score,training.day6_score,training.day7_score,training.day8_score,training.day9_score,training.day10_score,training.day11_score,training.day12_score,training.day13_score,training.day14_score,training.day15_score,training.day16_score,training.day17_score,training.day18_score,training.day19_score,training.day20_score,training.day21_score,training.day22_score,training.day23_score,training.day24_score,training.day25_score,training.day26_score,training.day27_score,training.day28_score,training.day29_score,training.day30_score,training.day31_score,training.day32_score,training.day33_score,training.day34_score,training.day35_score,training.day37_score,training.day38_score,training.day39_score,training.day40_score,training.day1_comments,training.day2_comments,training.day3_comments,training.day4_comments,training.day5_comments,training.day6_comments,training.day7_comments,training.day8_comments,training.day9_comments,training.day10_comments,training.day11_comments,training.day12_comments,training.day13_comments,training.day14_comments,training.day15_comments,training.day16_comments,training.day17_comments,training.day18_comments,training.day19_comments,training.day20_comments,training.day21_comments,training.day22_comments,training.day23_comments,training.day24_comments,training.day25_comments,training.day26_comments,training.day27_comments,training.day28_comments,training.day29_comments,training.day30_comments,training.day31_comments,training.day32_comments,training.day33_comments,training.day34_comments,training.day35_comments,training.day36_comments,training.day37_comments,training.day38_comments,training.day39_comments,training.day40_comments
10934529,female,1w,19FEB2019,20FEB2019,21FEB2019,22FEB2019,23FEB2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:42,10:06,10:56,10:24,12:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950486,female,1w,20FEB2019,21FEB2019,22FEB2019,23FEB2019,24FEB2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:11,11:32,11:17,12:20,10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950648,female,1w,20FEB2019,21FEB2019,22FEB2019,23FEB2019,24FEB2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:11,11:32,11:17,12:20,10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10953744,female,1w,20FEB2019,21FEB2019,22FEB2019,23FEB2019,24FEB2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:11,11:32,11:17,12:20,10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10962735,female,1w,20FEB2019,21FEB2019,22FEB2019,23FEB2019,24FEB2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:11,11:32,11:17,12:20,10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10680837,female,2w,19FEB2019,20FEB2019,21FEB2019,22FEB2019,23FEB2019,26FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28,10:44,10:56,10:24,12:55,10:20,10:06,11:30,10:12,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10702741,female,2w,19FEB2019,20FEB2019,21FEB2019,22FEB2019,23FEB2019,26FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28,10:44,10:56,10:24,12:55,10:20,10:06,11:30,10:12,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10729518,female,2w,19FEB2019,20FEB2019,21FEB2019,22FEB2019,23FEB2019,26FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28,10:44,10:56,10:24,12:58,10:20,10:06,11:30,10:12,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,ran backward,,sat on shock a bit,sat on shock,ran backward,ran backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732306,female,2w,19FEB2019,20FEB2019,21FEB2019,22FEB2019,23FEB2019,26FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28,10:44,10:56,10:24,12:55,10:20,10:06,11:30,10:12,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734945,female,2w,19FEB2019,20FEB2019,21FEB2019,22FEB2019,23FEB2019,26FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28,10:44,10:56,10:24,12:58,10:20,10:06,11:30,10:12,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742611,female,2w,20FEB2019,21FEB2019,22FEB2019,23FEB2019,24FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,03MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:48,11:32,11:17,12:20,10:31,10:42,11:30,10:49,10:44,10:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,4,2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,lots of shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10756086,female,2w,20FEB2019,21FEB2019,22FEB2019,23FEB2019,24FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,03MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:48,11:32,11:17,12:20,10:31,10:42,11:30,10:49,10:44,10:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hurt foot at end.,,,,lots of shock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10761160,female,2w,20FEB2019,21FEB2019,22FEB2019,23FEB2019,24FEB2019,27FEB2019,28FEB2019,01MAR2019,02MAR2019,03MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:48,11:32,11:17,12:20,10:31,10:42,11:30,10:49,10:44,10:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,sat often.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782168,female,2w,21FEB2019,22FEB2019,23FEB2019,24FEB2019,25FEB2019,28FEB2019,01MAR2019,02MAR2019,03MAR2019,04MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:20,12:06,11:35,11:09,10:22,12:10,11:27,11:22,10:51,10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,3,3,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,sat often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10830073,female,2w,21FEB2019,22FEB2019,23FEB2019,24FEB2019,25FEB2019,28FEB2019,01MAR2019,02MAR2019,03MAR2019,04MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:20,12:06,11:35,11:09,10:12,12:10,11:27,11:22,10:51,10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,hurt tail.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10858679,female,2w,21FEB2019,22FEB2019,23FEB2019,24FEB2019,25FEB2019,28FEB2019,01MAR2019,02MAR2019,03MAR2019,04MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:20,12:06,11:39,11:09,10:12,12:10,11:27,11:22,10:51,10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10871349,female,2w,21FEB2019,22FEB2019,23FEB2019,24FEB2019,25FEB2019,28FEB2019,01MAR2019,02MAR2019,03MAR2019,04MAR2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:20,12:06,11:35,11:09,10:12,12:10,11:27,11:22,10:51,10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,22,23,24,25,26,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,3,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Ran backwards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
